Time,Key,Value
Behavioral_H9,Mouse9,1
Behavioral_H10,Mouse9,0
Behavioral_H11,Mouse9,0
Behavioral_H12,Mouse9,0
Behavioral_H1,Mouse10,0
Behavioral_H2,Mouse10,0
Behavioral_H3,Mouse10,3
Behavioral_H4,Mouse10,0
Behavioral_H5,Mouse10,0
Behavioral_H6,Mouse10,0
Behavioral_H7,Mouse10,0
Behavioral_H8,Mouse10,0
Behavioral_H9,Mouse10,0
Behavioral_H10,Mouse10,0
Behavioral_H11,Mouse10,0
Behavioral_H12,Mouse10,0
Behavioral_H1,Mouse50,0
Behavioral_H2,Mouse50,1
Behavioral_H3,Mouse50,1
Behavioral_H4,Mouse50,0
Behavioral_H5,Mouse50,0
Behavioral_H6,Mouse50,0
Behavioral_H7,Mouse50,0
Behavioral_H8,Mouse50,0
Behavioral_H9,Mouse50,0
Behavioral_H10,Mouse50,0
Behavioral_H11,Mouse50,0
Behavioral_H12,Mouse50,0
Behavioral_H1,Mouse15,0
Behavioral_H2,Mouse15,0
Behavioral_H3,Mouse15,0
Behavioral_H4,Mouse15,0
Behavioral_H5,Mouse15,0
Behavioral_H6,Mouse15,0
Behavioral_H7,Mouse15,0
Behavioral_H8,Mouse15,0
Behavioral_H9,Mouse15,0
Behavioral_H10,Mouse15,0
Behavioral_H11,Mouse15,0
Behavioral_H12,Mouse15,0
Behavioral_H1,Mouse22,0
Behavioral_H2,Mouse22,0
Behavioral_H3,Mouse22,2
Behavioral_H4,Mouse22,1
Behavioral_H5,Mouse22,0
Behavioral_H6,Mouse22,0
Behavioral_H7,Mouse22,1
Behavioral_H8,Mouse22,0
Behavioral_H9,Mouse22,0
Behavioral_H10,Mouse22,0
Behavioral_H11,Mouse22,0
Behavioral_H12,Mouse22,0
Behavioral_H1,Mouse41,0
Behavioral_H2,Mouse41,4
Behavioral_H3,Mouse41,0
Behavioral_H4,Mouse41,0
Behavioral_H5,Mouse41,0
Behavioral_H6,Mouse41,0
Behavioral_H7,Mouse41,0
Behavioral_H8,Mouse41,0
Behavioral_H9,Mouse41,0
Behavioral_H10,Mouse41,0
Behavioral_H11,Mouse41,0
Behavioral_H12,Mouse41,0
Behavioral_H1,Mouse31,0
Behavioral_H2,Mouse31,0
Behavioral_H3,Mouse31,0
Behavioral_H4,Mouse31,0
Behavioral_H5,Mouse31,0
Behavioral_H6,Mouse31,0
Behavioral_H7,Mouse31,0
Behavioral_H8,Mouse31,0
Behavioral_H9,Mouse31,0
Behavioral_H10,Mouse31,0
Behavioral_H11,Mouse31,0
Behavioral_H12,Mouse31,0
Behavioral_H1,Mouse35,0
Behavioral_H2,Mouse35,0
Behavioral_H3,Mouse35,0
Behavioral_H4,Mouse35,0
Behavioral_H5,Mouse35,0
Behavioral_H6,Mouse35,0
Behavioral_H7,Mouse35,0
Behavioral_H8,Mouse35,0
Behavioral_H9,Mouse35,0
Behavioral_H10,Mouse35,0
Behavioral_H11,Mouse35,0
Behavioral_H12,Mouse35,0
Behavioral_H1,Mouse46,0
Behavioral_H2,Mouse46,0
Behavioral_H3,Mouse46,0
Behavioral_H4,Mouse46,0
Behavioral_H5,Mouse46,0
Behavioral_H6,Mouse46,0
Behavioral_H7,Mouse46,0
Behavioral_H8,Mouse46,0
Behavioral_H9,Mouse46,0
Behavioral_H10,Mouse46,0
Behavioral_H11,Mouse46,0
Behavioral_H12,Mouse46,0
Behavioral_H1,Mouse23,0
Behavioral_H2,Mouse23,0
Behavioral_H3,Mouse23,0
Behavioral_H4,Mouse23,0
Behavioral_H5,Mouse23,0
Behavioral_H6,Mouse23,0
Behavioral_H7,Mouse23,0
Behavioral_H8,Mouse23,0
Behavioral_H9,Mouse23,0
Behavioral_H10,Mouse23,0
Behavioral_H11,Mouse23,0
Behavioral_H12,Mouse23,0
Behavioral_H1,Mouse24,0
Behavioral_H2,Mouse24,0
Behavioral_H3,Mouse24,0
Behavioral_H4,Mouse24,0
Behavioral_H5,Mouse24,0
Behavioral_H6,Mouse24,0
Behavioral_H7,Mouse24,0
Behavioral_H8,Mouse24,0
Behavioral_H9,Mouse24,0
Behavioral_H10,Mouse24,0
Behavioral_H11,Mouse24,0
Behavioral_H12,Mouse24,0
Behavioral_H1,Mouse27,0
Behavioral_H2,Mouse27,0
Behavioral_H3,Mouse27,0
Behavioral_H4,Mouse27,0
Behavioral_H5,Mouse27,0
Behavioral_H6,Mouse27,0
Behavioral_H7,Mouse27,0
Behavioral_H8,Mouse27,0
Behavioral_H9,Mouse27,0
Behavioral_H10,Mouse27,0
Behavioral_H11,Mouse27,0
Behavioral_H12,Mouse27,0
Behavioral_H1,Mouse39,0
Behavioral_H2,Mouse39,0
Behavioral_H3,Mouse39,0
Behavioral_H4,Mouse39,0
Behavioral_H5,Mouse39,0
Behavioral_H6,Mouse39,0
Behavioral_H7,Mouse39,0
Behavioral_H8,Mouse39,0
Behavioral_H9,Mouse39,0
Behavioral_H10,Mouse39,0
Behavioral_H11,Mouse39,0
Behavioral_H12,Mouse39,0
Behavioral_H1,Mouse1,0
Behavioral_H2,Mouse1,0
Behavioral_H3,Mouse1,0
Behavioral_H4,Mouse1,0
Behavioral_H5,Mouse1,0
Behavioral_H6,Mouse1,0
Behavioral_H7,Mouse1,0
Behavioral_H8,Mouse1,0
Behavioral_H9,Mouse1,0
Behavioral_H10,Mouse1,0
Behavioral_H11,Mouse1,0
Behavioral_H12,Mouse1,0
Behavioral_H1,Mouse14,0
Behavioral_H2,Mouse14,0
Behavioral_H3,Mouse14,0
Behavioral_H4,Mouse14,0
Behavioral_H5,Mouse14,0
Behavioral_H6,Mouse14,0
Behavioral_H7,Mouse14,0
Behavioral_H8,Mouse14,0
Behavioral_H9,Mouse14,0
Behavioral_H10,Mouse14,0
Behavioral_H11,Mouse14,0
Behavioral_H12,Mouse14,0
Behavioral_H1,Mouse25,0
Behavioral_H2,Mouse25,0
Behavioral_H3,Mouse25,0
Behavioral_H4,Mouse25,0
Behavioral_H5,Mouse25,0
Behavioral_H6,Mouse25,0
Behavioral_H7,Mouse25,0
Behavioral_H8,Mouse25,0
Behavioral_H9,Mouse25,0
Behavioral_H10,Mouse25,0
Behavioral_H11,Mouse25,0
Behavioral_H12,Mouse25,0
Behavioral_H1,Mouse26,0
Behavioral_H2,Mouse26,0
Behavioral_H3,Mouse26,0
Behavioral_H4,Mouse26,0
Behavioral_H5,Mouse26,0
Behavioral_H6,Mouse26,0
Behavioral_H7,Mouse26,0
Behavioral_H8,Mouse26,0
Behavioral_H9,Mouse26,0
Behavioral_H10,Mouse26,0
Behavioral_H11,Mouse26,0
Behavioral_H12,Mouse26,0
